line_id,paragraphID,sentence ID,topic,prompt,sentence,segmentation,change_of_state,spatial_relationships,part_whole_relationships,notes
13,37,6,fossil,How are fossils formed?,Fossils are formed.,V:form|P:PBUILD|A:fossils|O:fossils|F:NAN|T:NAN,UNK->fossils,fossils(nowhere->somewhere),,
18,48,8,volcanic eruption,What happens during a vocanic eruption?,Mudslides and ash clouds cause problems after some eruptions.,V:cause|P:ABUILD|A:mudslides&ash clouds|O:problems|F:NAN|T:NAN,,,rest of floodwater(part(flood water)),"Becaus their existence build something(problems), but problems are not (necessarily) mental. We propose to add a ABUILD primitive here for ABSTRCT BUILD."
24,58,9,flood,How do floods happen?,The rest of the floodwater evaporates.,V:evaporate|P:PBUILD|A:rest of floodwater|O:floodwater|F:UNK|T:air,floodwater->vapor,floodwater(on(gound)->up(space)),,"Space' did not appear in the sentence. Rather, it's an abstract notion of the whole space the actor/object was in."
25,61,1,sedimentary rock,How does sediment turn into sedimentary rock?,Minerals fill spaces between bits of sediment.,V:fill|P:PTRANS|A:minerals|O:spaces|F:UNK|T:spaces,,minerals(outside(spaces))->inside(spaces))&&between(bits of sediment),,
29,69,6,coal,How does coal form?,Pressure caused by sedimentary rocks squeezes water out of the peat.,V:squeeze|P:PROPEL|A:pressure|O:water|F:peat|T:UNK//V:cause|P:PBUILD|A:sedimentary rocks|O:pressure|F:NAN|T:NAN,,water(inside(peak)->outside(peak)),,
31,76,4,sedimentary rock,How does sedimentary rock form?,The layers of sediment are pressed together by other layers of sediment on top.,V:press|P:PROPEL|A:sediment1|O:sediment2|F:UNK|T:UNK&&V:press|P:PTRANS|A:sediment1|O:sediment2|F:UNK|T:UNK&&V:press|P:JOIN|A:sediment1|O:sediment2|F:UNK|T:UNK,,sediment1(down->up)//sediment2(up->down),layers of sediemnt(part(sediement))//other layers of sediemnt(part(sediement)),"To differentiate different layers of sediments, we used 1 and 2"
56,221,3,cloud,How are clouds formed?,Some of the vapor condenses onto tiny pieces of dust that are floating in the air.,V:condense|P:PBUILD|A:vapor|O:NAN|F:NAN|T:dust//V:float|P:PTRANS|A:dust|O:NAN|F:UNK|T:UNK,vapor->water/ice,vapor(unconnected(dust)->connected(dust)),some of the vapor(part(vapor))//some part of the air(part(air)),
62,251,5,tree rings,How do rings form inside the trunk of a tree?,The bark leaves a ring.,V:leave|P:PBUILD|A:bark|O:ring|F:NAN|T:NAN,nothing->ring,ring(nowhere->somewhere),ring(NAN->part(tree)),
65,254,5,seed dispersal,How do plants use animals to help disburse their seeds?,The seed is digested by the animal and excreted into a new area.,V:digest|P:INGEST|A:animal|O:seed|F:NAN|T:NAN//V:excrete|P:EXPEL|A:animal|O:seed|F:UNK|T:a new area,,seed(inside(animal)->outside(animal))//seed(NAN->inside(new area)),seed(NAN->part(new area)),
71,280,3,electromagnet,How does an electromagnet work?,A magnetic field is produced by the current.,V:produce|P:PBUILD|A:current|O:magnetic field|F:NAN|T:NAN,nothing->magnatic field,magnetic field(nowhere->somewhere),,
74,290,1,pollution,Describe the process of pollution causing bad effects on the enviroinment.,Pollution enters natural water sources such as rivers and lakes.,V:enter|P:PTRANS|A:pollution|O:natural water sources|F:UNK|T:natural water sources,natural water sources such as rivers and lakes (clean->dirty),pollution(outside(natural water sources)->inside(natural water sources)),pollution(NAN->part(natural water sources)),
78,300,2,bacteria,Describe how bacteria can cause disease.,Bacteria start to divide and grow.,V:start|P:ABUILD|A:bacteria|O:NAN|F:NAN|T:NAN//V:divide|P:SEVER|A:bacteria|O:NAN|F:NAN|T:NAN//V:grow|P:PBUILD|A:bacteria|O:NAN|F:NAN|T:NAN,bateria(whole->parts),,,
83,316,2,weathering,What happens during weathering?,The rain seeps into the wood surface.,V:seep|P:PTRANS|A:rain|O:wood surface|F:NAN|T:wood surface,,rain(outside(wood surface)->inside(wood surface)),,
91,366,1,acid rain,Describe how acid rain can affect the environment.,Acid rain enters the atmosphere and lands.,V:enter|P:PTRANS|A:acid rain|O:atmosphere&lands|F:NAN|T:NAN,,acid rain(outside(atmosphere&lands)->inside(atmosphere&lands)),,Nin: Feels like Object should be nan and To should be the atmosphere.
106,397,3,wind electricity,How does a wind-powered power station generate electricity?,Shaft is connected to a generator.,V:connect|P:PBUILD|A:UNK|O:shaft|F:UNK|T:generator,,shaft(unconnected(generator)->connected(generator),,
112,412,8,auditory,How does the human auditory system work?,The hair cells release neurochemical messengers.,V:release|P:PBUILD|A:hair cells|O:neurochemical messengers|F:UNK|T:UNK&&V:release|P:PTRANS|A:hair cells|O:neurochemical messengers|F:hair cells|T:UNK,,neurochemical messengers(nowhere->somewhere),neurochemical messengers(part(hair cells)->NAN)),
130,446,3,rock cycle,Describe the rock cycle,Crystals form and the magma become igneous rocks.,V:form|P:PBUILD|A:crystals|O:NAN|F:NAN|T:NAN//V:become|P:PBUILD|A:magma|O:igneous rocks|F:NAN|T:NAN,magma->igneous rocks,crystals(nowhere->somewhere),,
132,449,3,rock cycle,What happens during the rock cycle,Crystals form and the magma become igneous rocks.,V:form|P:PBUILD|A:crystals|O:NAN|F:NAN|T:NAN//V:become|P:PBUILD|A:magma|O:igneous rocks|F:NAN|T:NAN,magma->igneous rocks,crystals(nowhere->somewhere),,
131,448,9,rock cycle,What happens during the rock cycle,Lava cools and forms igneous rock.,V:cool|P:PTRANS|A:lava|O:heat|F:lava|T:UNK//V:form|P:PBUILD|A:lava|O:igneous rocks|F:NAN|T:NAN,lava->igneous rocks,igneous rocks(nowhere->somewhere),,
135,460,2,fossil fuel,How does fossil fuel form?,Living things die.,V:die|P:PBUILD|A:living things|O:NAN|F:NAN|T:NAN,things(alive->dead),living things(somewhere->nowhere),,"Not sure, but the physical body does change."
144,480,5,photosynthesis,Describe the process of photosynthesis,Oxygen diffuses out of the plant as a waste product of photosynthesis.,,,,,
150,490,6,digestion,Describe the process of digestion,Food travels into the small intestine.,V:travel|P:PTRANS|A:food|O:food|F:UNK|T:intestine,,,,
154,499,10,flashlight,Describe how a flashlight works,The beam is no longer visible.,,,,,
156,503,8,car,Describe how a car works,Different parts of the car cause the motion in the crankshaft to cause the wheels to move.,V:cause|P:PBUILD|A:parts of the car|O:motion|F:NAN|T:NAN//V:cause|P:PBUILD|A:motion|O:wheels|F:NAN|T:NAN//V:move|P:PTRANS|A:wheels|O:wheels|F:UNK|T:UNK,nothing->motion,wheels(somewhere->somewhere),,
158,511,3,solar eclipse,How do solar eclipses occur?,The moon comes between the sun and the earth.,V:come|P:PTRANS|A:moon|O:moon|F:UNK|T:between the sun and the earth,,moon(somewhere->between the sun and the earth),,
159,514,2,glaciers,How do glaciers form and move?,The snow builds up for a very long time.,V:build up|P:PBUILD|A:snow|O:snow|F:NAN|T:NAN,snow(no/little->a lot),snow(nowhere->somewhere),,
161,516,6,frog,Describe the life cycle of a frog,The front legs appear and the tadpole's tail shortens.,V:appear|P:PBUILD|A:front legs|O:front legs|F:NAN|T:NAN//V:develop|P:PDESTROY|A:tail|O:tail|F:NAN|T:NAN,cells->front legs//tail(long->short),,front legs(NAN->part(tadpole))//tails(part(tadpole)->part(tadpole)),
170,525,5,human,Describe the life cycle of a human,Begins to grow and develop through infancy and childhood.,,,,,
177,533,6,tree,Describe the life cycle of a tree,The tree will begin to age and decline.,,,,,
184,544,1,kidney,Describe what kidneys do,They take in fluids and liquids.,V:take in|P:INGEST|A:kidneys|O:fluids and liquids|F:UNK|T:kidneys,,water(outside(kidneys)->inside(kidneys)),,
188,548,2,liver,Describe how the liver works,Liver also cleans blood that has just been enriched with vitamins and minerals during digestion.,,,,,
214,618,5,oxygen,Describe how oxygen reaches cells in the body,Red blood cells carry oxygen all around the body.,V:carry|P:PTRANS|A:blood cells|O:oxygen|F:UNK|T:UNK,,oxygen(inside(body)->inside(body)),,
235,648,3,plant,Describe the life cycle of a plant,The seedling grows into a full-grown plant.,,,,,
242,659,2,nitrogen cycle,Describe the nitrogen cycle,The nitrification process is where ammonium gets changed into nitrates by bacteria.,V:change|P:PBUILD|A:bacteria|O:ammonium|F:UNK|T:UNK,ammonium->nitrates,,,
243,660,7,nitrogen cycle,Describe the nitrogen cycle,Nitrifying bacteria convert ammonium to nitrate.,V:convert|P:PBUILD|A:nitrifying bacteria|O:ammonium|F:UNK|T:UNK,ammonium->nitrates,,,
243,660,8,nitrogen cycle,Describe the nitrogen cycle,Bacteria convert nitrate to nitrogen gas.,V:convert|P:PBUILD|A:bacteria|O:nitrate|F:UNK|T:UNK,nitrate->nitrogen gas,,,
248,671,3,evaporation,Describe the process of evaporation,"As the molecules absorb more energy, they start to move faster.",V:convert|P:INGEST|A:molecules|O:energy|F:UNK|molecules//V:move|P:PTRANS|A:molecules|O:molecules|F:UNK|UNK,,energy(outside(molecules)->inside(molecules))//molecules(somewhere->somewhere),energy(part(enviornment)->part(molecules)),
270,708,2,rock cycle,Describe the rock cycle,Erosion can be wind or water.,,,,,
283,745,4,pollination,How do bees pollinate plants?,Some pollen falls off the bee.,V:fall off|P:PTRANS|A:pollen|O:pollen|F:bee|T:UNK,,pollen(on(bee)->down(bee)),pollen(whole->part),
289,771,6,lung,How do lungs work?,The carbon dioxide is carried back to the lungs via the bloodstream.,V:carry|P:PTRANS|A:bloodstream|O:carbon dioxide|F:UNK|T:lungs,,carbon dioxide(inside(body)&&outside(lungs)->inside(lungs)),,
290,772,2,lung,How do lungs work?,The air goes down the esophagus.,V:go down|P:PTRANS|A:air|O:air|F:esophagus(up)|T:esophagus(down),,air(inside(esophagus(up))->inside(esophagus(down)),,
307,826,2,nuclear electricity,How does a nuclear-powered power station generate electricity?,The heat created raises steam.,V:create|P:PBUILD|A:UNK|O:heat|F:NAN|T:NAN//V:raise|P:PTRANS|A:heat|O:steam|F:UNK|T:UNK,nothing->heat,steam(down(air)->up(air)),,
308,828,5,steam engine,How does a steam engine work?,The steam is denser than air so it needs a place to go.,V:go|P:PTRANS|A:steam|O:steam|F:UNK|T:UNK,,steam(up(air)->down(air)),,
310,834,1,virus,How does a virus infect an animal?,A virus enters a host body.,V:enter|P:PTRANS|A:virus|O:virus|F:UNK|T:host body,,virus(outside(host body)->inside(host body)),,
310,834,5,virus,How does a virus infect an animal?,The new copies of the virus leave the cell.,V:leave|P:PTRANS|A:new copies of virus|O:new copies of virus|F:cell|T:UNK,,new copies of virus(inside(cell)->outside(cell)),,
327,896,6,heart,How does the heart work?,"Blood leaves the heart through the pulmonic valve, into the pulmonary artery and to the lungs.",V:leave|P:PTRANS|A:blood|O:blood|F:UNK|T:lungs,,blood(outside(pulmonic valve)->inside(pulmonic valve)->inside(pulmonary artery)&&inside(lungs)),,
334,915,3,sediment,How is sediment transported across the Earth?,"Sediment transport occurs in natural systems where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay.",V:occur|P:PBUILD|A:sediment transport|O:sediment transport|F:UNK|T:UNK,nothing->sediment transport,sediment transport(nowhere->inside(natural systems)),sediment transport(part(natural systems))//particles(part(natural systems)),
334,915,5,sediment,How is sediment transported across the Earth?,And the force of gravity acts to move the particles along the sloping surface on which they are resting.,V:move|P:PTRANS|A:force of gravity|O:particles|F:sloping surface|T:sloping surface//V:rest|P:PSTAY|A:particles|O:particles|F:NAN|T:NAN,,particles(on(sloping surface)->on(sloping surface)),,
343,925,1,lungs,What do lungs do?,He air we breathe contains oxygen and other gases.,V:breathe|P:INGEST|A:human|O:air|F:air|T:human,,air(outside(human)&&outside(lungs)->inside(lungs)),some of magma(part(magma)),
346,931,4,volcanic eruption,What happens during a vocanic eruption?,Magma flows out as lava.,V:flow out|P:PTRANS|A:magma|O:magma|F:vocanoes|T:UNK,magma->lava,magma(inside(vocanoes)->outside(vocanoes)),,
347,932,1,weathering; chemical,What happens during chemical weathering?,Water flows by rocks.,V:flow by|P:PTRANS|A:water|O:water|F:rocks|T:UNK,,water(far(rocks)->near(rocks)->far(rocks)),,
348,933,2,weathering; chemical,What happens during chemical weathering?,The water becomes acidic.,V:become|P:PBUILD|A:water|O:water|F:NAN|T:NAN,water(UNK->acidic),,,
355,942,3,respiration,What happens during respiration?,The oxygen fills the sacs in your lungs.,V:fill|P:PBUILD|A:oxygen|O:sacs in lungs|F:NAN|T:NAN,sacs(unfilled->filled),oxygen(UNK->scas in lungs),,
360,960,9,coal heating,Describe the process of using coal to heat a house.,The turbines spin.,V:spin|P:PSTAY|A:turbines|O:turbines|F:NAN|T:NAN,,,,
364,996,1,greenhouse gases,How do greenhouse gases form?,People breathe and expel carbon dioxide.,V:breathe|P:INGEST|A:human|O:air|F:air|T:human&&V:expel|P:EXPEL|A:human|O:carbon dioxide|F:human|T:air,,air(outside(human)->inside(human))//carbon dioxide(inside(human)->outside(human)),some part of air(part(air)),
364,996,5,greenhouse gases,How do greenhouse gases form?,Decomposition produces methane.,V:produce|P:PBUILD|A:decomposition|O:methane|F:NAN|T:NAN,nothing->methane,methane(nowhere->somewhere),,
367,1005,4,ice cubes,How do you make ice cubes?,The water molecules begin to slow down.,V:slow down|P:PBUILD|A:water molecules|O:water molecules|F:NAN|T:NAN,water molecules(fast->slow),,,
378,1032,2,fossil,How are fossils formed?,The animals and plants are then buried in mud.,V:bury|P:PROPEL|A:mud|O:animals and plants|F:NAN|T:NAN,,mud(under(animals and plants)->above(animals and plants)),some mud(part(mud)),
388,1059,9,dishwasher,How does a dishwasher work?,Water was so hot that it evaporates for dry dishes.,V:evaporate|P:PBUILD|A:water|O:water|F:dry dishes|T:air,water->vapor,water(on(dry dishes)->in(air)),,
412,1104,1,mountain,How do mountains form?,Techtonic plates in the earths crust move.,V:move|P:PTRANS|A:techtonic plates|O:techtonic plates|F:UNK|T:UNK,,techtonic plates(in(earth crust)->in(earath crust)),some techtonic plates(part(techtonic plates)),
416,1112,3,cave,How do caves form?,When rain goes into soil it creates an acid.,V:go into|P:PTRANS|A:rain|O:rain|F:air|T:soil//V:create|P:PBUILD|A:rain|O:acid|F:UNK|T:UNK,nothing->acid,rain(air->soil),,
431,1145,2,red giant,How is a red giant star formed?,Formation occurs when the star runs out of hydrogen fuel.,V:occur|P:PBUILD|A:formation|O:formation|F:UNK|T:UNK//V:run out|P:PDESTROY|A:star|O:hydrogen fuel|F:UNK|T:UNK,nothing->formation//hydrogen fuel->nothing,formation(nowhere->somewhere),,
436,1151,2,radioactive atoms,Describe how radioactive atoms decay,Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,,,,,
446,1172,5,liver,Describe how the liver works,The liver converts ammonia to urea.,V:convert|P:PBUILD|A:liver|O:ammonia|F:UNK|T:UNK,ammonia->urea,,,
457,1205,6,treating a cut,Describe the steps in how a cut on your hand is treated and heals,The scab falls off.,V:fall off|P:PTRANS|A:scab|O:scab|F:hand|T:UNK,hand(scabbed -> nuscabbed),scab(connected(hand)->unconnected(hand)),,
